booth_id,machine_id,booth_code,booth_number,store_code,full_booth_code,meter_in_digit,meter_out_digit,,play_price,active_flag
1,1,B01,1,KOS01,KOS01-M01-B01,5,5,,100,1
2,1,B02,2,KOS01,KOS01-M01-B02,5,5,,100,1
3,2,B01,1,KOS01,KOS01-M02-B01,5,5,,100,1
4,2,B02,2,KOS01,KOS01-M02-B02,5,5,,100,1
5,2,B03,3,KOS01,KOS01-M02-B03,5,5,,100,1
6,2,B04,4,KOS01,KOS01-M02-B04,5,5,,100,1
7,3,B01,1,KOS01,KOS01-M03-B01,5,5,,100,1
8,3,B02,2,KOS01,KOS01-M03-B02,5,5,,100,1
9,3,B03,3,KOS01,KOS01-M03-B03,5,5,,100,1
10,3,B04,4,KOS01,KOS01-M03-B04,5,5,,100,1
11,4,B01,1,KOS01,KOS01-M04-B01,5,5,,100,1
12,4,B02,2,KOS01,KOS01-M04-B02,5,5,,100,1
13,5,B01,1,KOS01,KOS01-M05-B01,5,5,,100,1
14,5,B02,2,KOS01,KOS01-M05-B02,5,5,,100,1
15,6,B01,1,KOS01,KOS01-M06-B01,5,5,,100,1
16,6,B02,2,KOS01,KOS01-M06-B02,5,5,,100,1
17,7,B01,1,KOS01,KOS01-M07-B01,5,5,,100,1
18,7,B02,2,KOS01,KOS01-M07-B02,5,5,,100,1
19,8,B01,1,KIK01,KIK01-M01-B01,5,5,,100,1
20,8,B02,2,KIK01,KIK01-M01-B02,5,5,,100,1
21,9,B01,1,KIK01,KIK01-M02-B01,5,5,,100,1
22,9,B02,2,KIK01,KIK01-M02-B02,5,5,,100,1
23,9,B03,3,KIK01,KIK01-M02-B03,5,5,,100,1
24,9,B04,4,KIK01,KIK01-M02-B04,5,5,,100,1
25,10,B01,1,MNK01,MNK01-M01-B01,5,5,,100,1
26,10,B02,2,MNK01,MNK01-M01-B02,5,5,,100,1
27,10,B03,3,MNK01,MNK01-M01-B03,5,5,,100,1
28,10,B04,4,MNK01,MNK01-M01-B04,5,5,,100,1
29,11,B01,1,MNK01,MNK01-M02-B01,5,5,,100,1
30,11,B02,2,MNK01,MNK01-M02-B02,5,5,,100,1
31,11,B03,3,MNK01,MNK01-M02-B03,5,5,,100,1
32,11,B04,4,MNK01,MNK01-M02-B04,5,5,,100,1
33,12,B01,1,KOS01,KOS01-M08-B01,5,5,,1000,1
34,12,B02,2,KOS01,KOS01-M08-B02,5,5,,1000,1
35,13,B01,1,SIM01,SIM01-M01-B01,5,5,,1000,1
36,13,B02,2,SIM01,SIM01-M01-B02,5,5,,1000,1
